product_id,title,description,categories,url,price,quantity,image,characteristics,ingredients,allergens,interests,servings,calories
apricot-mango-greek-whole-milk-yogurt-077291,Apricot Mango Greek Whole Milk Yogurt," Trader Joe’s Apricot Mango Greek Yogurt is made with Grade A Whole Milk. This might conjure images of super fatty milk in your mind, but in truth, whole milk is just ‘milk as it comes from the cow’—with none of its original milk fat removed. And that original milk fat isn’t as much as one might think. Whole milk doesn’t even contain twice as much milk fat as does 2% milk. Still, it’s enough extra fat to give Whole Milk Yogurt a creamier texture—a trait that classic Greek yogurt really showcases.   Beyond the thick, creamy mouth feel, we’ve also included bits of apricot and mango, with additional fruit juices, to give this Yogurt a tinge of tropical flavor. There are also a host of live and active cultures (added after pasteurization) meant to help bolster the presence of “good bacteria” in your gut.   Take a tub to work for an easy breakfast. Mix it with some Müesli for a heartier snack. You can enjoy it anytime. ","['Food', 'Dairy & Eggs', 'Yogurt, etc.']",https://www.traderjoes.com/home/products/pdp/apricot-mango-greek-whole-milk-yogurt-077291,$0.99,5.3 Oz,https://www.traderjoes.com/content/dam/trjo/products/m20303/77291.png/jcr:content/renditions/cq5dam.web.1280.1280,Kosher,"['GRADE A PASTEURIZED MILK (SKIM MILK, CREAM)', 'APRICOT MANGO FRUIT BASE (FRUIT JUICE CONCENTRATES [PINEAPPLE, PEACH, APPLE, PEAR], WATER, SWEETENED APRICOTS  [APRICOTS, SUGAR, ASCORBIC ACID {TO PRESERVE}, CITRIC ACID {TO PRESERVE}], MANGO, TAPIOCA STARCH, NATURAL FLAVOR, CITRIC ACID [ACIDULANT], ANNATTO EXTRACT [FOR COLOR])', 'LIVE ACTIVE CULTURES (STREPTOCOCCUS THERMOPHILUS, LACTOBICILLUS BULGARICUS, L. ACIDOPHILUS, BIFIDUS, L. CASEI).']",CONTAINS MILK.,"['Alfresco Dining', 'Brunch All Day', 'Midday Snacks', 'Rise & Shine']",['1 container(150g)'],['200 ']
japanese-style-fried-rice-097908,Japanese Style Fried Rice," What exactly is Trader Joe’s Japanese Style Fried Rice? It’s a big favorite among our Crew Members, and a mainstay in our freezer case. More specifically, it’s our take on takikomi gohan, a traditional Japanese style of rice flavored with soy sauce and mirin (a tangy rice wine). Our version contains shelled edamame, pieces of deep fried tofu, and thin strips of hijiki seaweed. What’s inside the package is fully cooked—you can heat it in minutes in a microwave or skillet or wok—and works brilliantly as either a side with a larger Japanese-inspired meal or as the main dish for a vegetarian feast. You could also go the fusion route and serve it topped with Sriracha and a fried egg. You’ll find it alongside the other fried rice options in our freezers. ","['Food', 'From The Freezer', 'Entrées & Sides']",https://www.traderjoes.com/home/products/pdp/japanese-style-fried-rice-097908,$3.79,16 Oz,https://www.traderjoes.com/content/dam/trjo/products/m20602/97908.png/jcr:content/renditions/cq5dam.web.1280.1280,Vegan,[],"CONTAINS SOY, SESAME, WHEAT.","['Alfresco Dining', 'Dinner Hack', 'Fry It Up', 'In Lieu of Pizza', 'Put An Egg On It']","['1 1/2 cups frozen(180g), makes 1 cup cooked', '1 1/2 cups frozen(180g), makes 1 cup cooked']","['340 ', '870 ']"
breaded-mozzarella-cheese-sticks-050209,Breaded Mozzarella Cheese Sticks," A fan favorite of our frozen section for over a decade, now, Trader Joe’s Breaded Mozzarella Sticks may seem like a simple product, but they actually took us forever to bring in to our stores. We wanted to get it just right, and while there were plenty of options out there from the get-go, most of them weren’t very good. We wanted really good. And we got it, in the most seemingly simple way—we started with the cheese. Trader Joe’s Breaded Mozzarella Cheese Sticks begin with really good, part skim mozzarella cheese from Wisconsin.    Once we knew we had the right cheese, we set about perfecting the breading. Restaurant versions are crunchy, but most bake-at-home versions become a soggy mess very quickly. The solution to the soggy mess situation was panko bread crumbs, lightly seasoned with garlic butter flavor. This simple breading creates a crispy crust that brings a captivating crunch to every bite. We like these Breaded Mozzarella Cheese Sticks dipped in simple tomato sauces like our Organic Marinara Sauce, or simply as they are, with no sauce at all. And we really like our price, a considerable value compared to other stores’ mozzarella sticks—we think you will, too. ","['Food', 'From The Freezer', 'Appetizers']",https://www.traderjoes.com/home/products/pdp/breaded-mozzarella-cheese-sticks-050209,$5.49,16 Oz,https://www.traderjoes.com/content/dam/trjo/products/m20601/50209.png/jcr:content/renditions/cq5dam.web.1280.1280,,[],"CONTAINS MILK, WHEAT AND SOY.","['Crack a Beer', 'Effortless Entertaining', 'Finger Food', 'Fry It Up', 'Game Night']",['3 pieces(77g)'],['260 ']
korean-style-beef-short-ribs-090809,Korean Style Beef Short Ribs," Here’s a quick dinner idea we think will really excite you! Trader Joe’s Korean Style Beef Short Ribs. It’s a simple entrée, really – lean beef short ribs marinated in a Korean style sweet and savory soy-based marinade. In the marinade, soy sauce and garlic account for the Ribs savory flavors, then brown sugar is added to make it deliciously sweet. The combination is simple, yet phenomenal.   The genius is really in the preparation, and that’s where you come in. In about 15 minutes (if you count the time it takes to thaw the meat), these simple Short Ribs cook to utter perfection – just pop them on a grill – or grill pan on the stovetop – at medium-high heat, cook for a couple of minutes on each side and, you’re done. See? Genius! Before devouring, the Beef should be cooked thoroughly, at 160 degrees Fahrenheit or higher measured by a food thermometer. ","['Food', 'From The Freezer', 'Entrées & Sides']",https://www.traderjoes.com/home/products/pdp/korean-style-beef-short-ribs-090809,$13.99,20 Oz,https://www.traderjoes.com/content/dam/trjo/products/m20602/90809.png/jcr:content/renditions/cq5dam.web.1280.1280,,"['BEEF SHORT RIB', 'MARINADE: (SOY SAUCE, [WATER, WHEAT, SOYBEAN, SALT], WATER, BROWN SUGAR, RICE WINE [RICE, KOJI RICE, WATER], SESAME OIL, GARLIC, LEMON JUICE, BLACK PEPPER)']",CONTAINS WHEAT AND SOY.,"['Alfresco Dining', 'Crack a Beer', 'Dinner Hack', 'Fire Up The Grill', 'Game Night', 'In Lieu of Pizza']",['1 piece(110g/3.9 oz)'],['320']
premium-calla-lily-050408,Premium Calla Lily," Whether gracing your dining table as a striking centerpiece or adorning your bedside table with a touch of refinement, Trader Joe’s Premium Potted Calla Lilies elevate any space with their sophisticated, understated beauty. Available for a limited time in both white and pink, their blooms make striking additions to all sorts of spring arrangements—or you can let a single stem steal the spotlight. No matter how you style them, they’re sure to leave a lasting impression.   Speaking of lasting impressions, a TJ’s Premium Potted Calla Lily also makes a great gift—a thoughtful gesture for all kinds of occasions, from brunches and birthdays to bridal showers and beyond! If you think about it, with proper care, a potted plant is like a gift that keeps on giving—instead of one round of blooms, you get several! Think of all the flower arrangements in your future… ",['Flowers & Plants'],https://www.traderjoes.com/home/products/pdp/premium-calla-lily-050408,$2.99,1 Each,https://www.traderjoes.com/content/dam/trjo/products/m4/50408.png/jcr:content/renditions/cq5dam.web.1280.1280,,[],,"['Giftable', 'Treat Yourself']",[],[]
premium-monstera-069638,Premium Monstera," With their distinctive Swiss cheese-like leaves (they don’t call it the “Swiss cheese plant” for nothing!), Monstera are the epitome of trendy greenery these days. Just about every house-plant aficionado has one in their assortment, and for good reason. Not only are they tropical and lush-looking, they’re also resilient and low-maintenance, making them perfect presents for novice growers and seasoned plant-parents alike. It’s a real win-win.... and with prices this good, you might as well head to your neighborhood Trader Joe’s and join the Monstera mania today! ",['Flowers & Plants'],https://www.traderjoes.com/home/products/pdp/premium-monstera-069638,$12.99,1 Each,https://www.traderjoes.com/content/dam/trjo/products/m4/69638.png/jcr:content/renditions/cq5dam.web.1280.1280,,[],,"['Giftable', 'Treat Yourself']",[],[]
plain-sparkling-water-094022,Plain Sparkling Water," We find that one of the quickest (and certainly one of the most cost effective) ways to add some sparkle to your life is to add some sparkle to your water. A bit of bright and breezy bubbly water can make the difference between ho-hum hydration and resplendent refreshment. Packaged in a sleek 1-liter bottle, Trader Joe’s Plain Sparkling Water is a fun and fizzy way to quench your thirst in all kinds of contexts, providing unflavored and easy-drinking effervescence with every single sip.   Whether you enjoy it chilled & straight out of the bottle, in glass over ice, or even used as a mixer with any one of our fine fruit juices and/or sassy spirits, our Sparkling Water is sure to make a splash. Enjoy a bottle at home, on the go, at the gym, or packed along with your lunch. Enjoy it anytime you need a burst of bubbles, or even as the base of an old-fashioned ice cream soda! And, of course, be sure to enjoy its remarkable value, too: Trader Joe’s Plain Sparkling Water offers a whole lot of bubbles for just about a buck. ","['Beverages', 'Water (Sparkling & Still)']",https://www.traderjoes.com/home/products/pdp/plain-sparkling-water-094022,$0.99,33.8 Fl Oz,https://www.traderjoes.com/content/dam/trjo/products/m302/94022.png/jcr:content/renditions/cq5dam.web.1280.1280,Kosher,"['CARBONATED WATER (WATER, CARBON DIOXIDE)']",,"['Alfresco Dining', 'Glass Half Full', 'Picnic', 'Rain or Shine']","['12 fl oz(360mL)', '12 fl oz(360mL)']","['0 ', '0 ']"
lemon-sparkling-water-094030,Lemon Sparkling Water," We find that one of the quickest (and certainly one of the most cost effective) ways to add some sparkle to your life is to add some sparkle to your water. A bit of bright and breezy bubbly water can make the difference between ho-hum hydration and resplendent refreshment. Packaged in a sleek 1-liter bottle, Trader Joe’s Lemon Sparkling Water is a fun and fizzy way to quench your thirst in all kinds of contexts, providing satisfyingly tart and citric sparkles with every single sip.   Whether you enjoy it chilled & straight out of the bottle, in glass over ice, or even used as a mixer with any one of our fine fruit juices and/or sassy spirits, our Lemon Sparkling Water is sure to make a splash. Enjoy a bottle at home, at a picnic or barbecue, or packed along with your lunch. Enjoy it anytime you need a burst of fruity effervescence, or even as the base of an old-fashioned ice cream soda! And, of course, be sure to enjoy its remarkable value, too: Trader Joe’s Lemon Sparkling Water offers a whole lot of bubbles for just about a buck. ","['Beverages', 'Water (Sparkling & Still)']",https://www.traderjoes.com/home/products/pdp/lemon-sparkling-water-094030,$0.99,33.8 Fl Oz,https://www.traderjoes.com/content/dam/trjo/products/m302/94030.png/jcr:content/renditions/cq5dam.web.1280.1280,Kosher,"['CARBONATED WATER (WATER, CARBON DIOXIDE)', 'NATURAL FLAVORS']",,"['Alfresco Dining', 'Glass Half Full', 'Picnic', 'Rain or Shine']","['12 fl oz(360mL)', '12 fl oz(360mL)']","['0 ', '0 ']"
grapefruit-sparkling-water-060321,Grapefruit Sparkling Water," We find that one of the quickest (and certainly one of the most cost effective) ways to add some sparkle to your life is to add some sparkle to your water. A bit of bright and breezy bubbly water can make the difference between ho-hum hydration and resplendent refreshment. Packaged in a sleek 1-liter bottle, Trader Joe’s Grapefruit Sparkling Water is a fun and fizzy way to quench your thirst in all kinds of contexts, providing satisfyingly tart and citric sparkles with every single sip.   Whether you enjoy it chilled & straight out of the bottle, in glass over ice, or even used as a mixer with any one of our fine fruit juices and/or sassy spirits, our Grapefruit Sparkling Water is sure to make a splash. Enjoy a bottle at home, on the go, at the gym, or packed along with your lunch. Enjoy it anytime you need a burst of fruity effervescence, or even as the base of an old-fashioned ice cream soda! And, of course, be sure to enjoy its remarkable value, too: Trader Joe’s Grapefruit Sparkling Water offers a whole lot of bubbles for just about a buck. ","['Beverages', 'Water (Sparkling & Still)']",https://www.traderjoes.com/home/products/pdp/grapefruit-sparkling-water-060321,$0.99,33.8 Fl Oz,https://www.traderjoes.com/content/dam/trjo/products/m302/60321.png/jcr:content/renditions/cq5dam.web.1280.1280,Kosher,"['CARBONATED WATER (WATER, CARBON DIOXIDE)', 'NATURAL FLAVORS']",,"['Alfresco Dining', 'Glass Half Full', 'Picnic', 'Rain or Shine']","['12 fl oz(360mL)', '12 fl oz(360mL)']","['0 ', '5 ']"
cranberry-clementine-sparkling-water-060320,Cranberry Clementine Sparkling Water," We find that one of the quickest (and certainly one of the most cost effective) ways to add some sparkle to your life is to add some sparkle to your water. A bit of bright and breezy bubbly water can make the difference between ho-hum hydration and resplendent refreshment. Packaged in a sleek 1-liter bottle, Trader Joe’s Cranberry Clementine Sparkling Water is a fun and fizzy way to quench your thirst in all kinds of contexts, providing satisfyingly tart and citric sparkles with every single sip.   Whether you enjoy it chilled & straight out of the bottle, in glass over ice, or even used as a mixer with any one of our fine fruit juices and/or sassy spirits, our Cranberry Clementine Sparkling Water is sure to make a splash. Enjoy a bottle at home, on your commute, during a hike, or packed along with your lunch. Enjoy it anytime you need a burst of fruity effervescence, or even as the base of an old-fashioned ice cream soda! And, of course, be sure to enjoy its remarkable value, too: Trader Joe’s Cranberry Clementine Sparkling Water offers a whole lot of bubbles for just about a buck. ","['Beverages', 'Water (Sparkling & Still)']",https://www.traderjoes.com/home/products/pdp/cranberry-clementine-sparkling-water-060320,$0.99,33.8 Fl Oz,https://www.traderjoes.com/content/dam/trjo/products/m302/60320.png/jcr:content/renditions/cq5dam.web.1280.1280,Kosher,"['CARBONATED WATER (WATER, CARBON DIOXIDE)', 'NATURAL FLAVORS']",,"['Alfresco Dining', 'Glass Half Full', 'Picnic', 'Rain or Shine']","['12 fl oz(360mL)', '12 fl oz(360mL)']","['0 ', '10 ']"
