product_id,title,description,categories,url,price,quantity,image,characteristics,ingredients,allergens,interests,servings,calories
apricot-mango-greek-whole-milk-yogurt-077291,Apricot Mango Greek Whole Milk Yogurt," Trader Joe’s Apricot Mango Greek Yogurt is made with Grade A Whole Milk. This might conjure images of super fatty milk in your mind, but in truth, whole milk is just ‘milk as it comes from the cow’—with none of its original milk fat removed. And that original milk fat isn’t as much as one might think. Whole milk doesn’t even contain twice as much milk fat as does 2% milk. Still, it’s enough extra fat to give Whole Milk Yogurt a creamier texture—a trait that classic Greek yogurt really showcases.   Beyond the thick, creamy mouth feel, we’ve also included bits of apricot and mango, with additional fruit juices, to give this Yogurt a tinge of tropical flavor. There are also a host of live and active cultures (added after pasteurization) meant to help bolster the presence of “good bacteria” in your gut.   Take a tub to work for an easy breakfast. Mix it with some Müesli for a heartier snack. You can enjoy it anytime. ","['Food', 'Dairy & Eggs', 'Yogurt, etc.']",https://www.traderjoes.com/home/products/pdp/apricot-mango-greek-whole-milk-yogurt-077291,$0.99,5.3 Oz,https://www.traderjoes.com/content/dam/trjo/products/m20303/77291.png/jcr:content/renditions/cq5dam.web.1280.1280,Kosher,"['GRADE A PASTEURIZED MILK (SKIM MILK, CREAM)', 'APRICOT MANGO FRUIT BASE (FRUIT JUICE CONCENTRATES [PINEAPPLE, PEACH, APPLE, PEAR], WATER, SWEETENED APRICOTS  [APRICOTS, SUGAR, ASCORBIC ACID {TO PRESERVE}, CITRIC ACID {TO PRESERVE}], MANGO, TAPIOCA STARCH, NATURAL FLAVOR, CITRIC ACID [ACIDULANT], ANNATTO EXTRACT [FOR COLOR])', 'LIVE ACTIVE CULTURES (STREPTOCOCCUS THERMOPHILUS, LACTOBICILLUS BULGARICUS, L. ACIDOPHILUS, BIFIDUS, L. CASEI).']",CONTAINS MILK.,"['Alfresco Dining', 'Brunch All Day', 'Midday Snacks', 'Rise & Shine']",['1 container(150g)'],['200 ']
korean-style-beef-short-ribs-090809,Korean Style Beef Short Ribs," Here’s a quick dinner idea we think will really excite you! Trader Joe’s Korean Style Beef Short Ribs. It’s a simple entrée, really – lean beef short ribs marinated in a Korean style sweet and savory soy-based marinade. In the marinade, soy sauce and garlic account for the Ribs savory flavors, then brown sugar is added to make it deliciously sweet. The combination is simple, yet phenomenal.   The genius is really in the preparation, and that’s where you come in. In about 15 minutes (if you count the time it takes to thaw the meat), these simple Short Ribs cook to utter perfection – just pop them on a grill – or grill pan on the stovetop – at medium-high heat, cook for a couple of minutes on each side and, you’re done. See? Genius! Before devouring, the Beef should be cooked thoroughly, at 160 degrees Fahrenheit or higher measured by a food thermometer. ","['Food', 'From The Freezer', 'Entrées & Sides']",https://www.traderjoes.com/home/products/pdp/korean-style-beef-short-ribs-090809,$13.99,20 Oz,https://www.traderjoes.com/content/dam/trjo/products/m20602/90809.png/jcr:content/renditions/cq5dam.web.1280.1280,,"['BEEF SHORT RIB', 'MARINADE: (SOY SAUCE, [WATER, WHEAT, SOYBEAN, SALT], WATER, BROWN SUGAR, RICE WINE [RICE, KOJI RICE, WATER], SESAME OIL, GARLIC, LEMON JUICE, BLACK PEPPER)']",CONTAINS WHEAT AND SOY.,"['Alfresco Dining', 'Crack a Beer', 'Dinner Hack', 'Fire Up The Grill', 'Game Night', 'In Lieu of Pizza']",['1 piece(110g/3.9 oz)'],['320']
plain-sparkling-water-094022,Plain Sparkling Water," We find that one of the quickest (and certainly one of the most cost effective) ways to add some sparkle to your life is to add some sparkle to your water. A bit of bright and breezy bubbly water can make the difference between ho-hum hydration and resplendent refreshment. Packaged in a sleek 1-liter bottle, Trader Joe’s Plain Sparkling Water is a fun and fizzy way to quench your thirst in all kinds of contexts, providing unflavored and easy-drinking effervescence with every single sip.   Whether you enjoy it chilled & straight out of the bottle, in glass over ice, or even used as a mixer with any one of our fine fruit juices and/or sassy spirits, our Sparkling Water is sure to make a splash. Enjoy a bottle at home, on the go, at the gym, or packed along with your lunch. Enjoy it anytime you need a burst of bubbles, or even as the base of an old-fashioned ice cream soda! And, of course, be sure to enjoy its remarkable value, too: Trader Joe’s Plain Sparkling Water offers a whole lot of bubbles for just about a buck. ","['Beverages', 'Water (Sparkling & Still)']",https://www.traderjoes.com/home/products/pdp/plain-sparkling-water-094022,$0.99,33.8 Fl Oz,https://www.traderjoes.com/content/dam/trjo/products/m302/94022.png/jcr:content/renditions/cq5dam.web.1280.1280,Kosher,"['CARBONATED WATER (WATER, CARBON DIOXIDE)']",,"['Alfresco Dining', 'Glass Half Full', 'Picnic', 'Rain or Shine']","['12 fl oz(360mL)', '12 fl oz(360mL)']","['0 ', '0 ']"
lemon-sparkling-water-094030,Lemon Sparkling Water," We find that one of the quickest (and certainly one of the most cost effective) ways to add some sparkle to your life is to add some sparkle to your water. A bit of bright and breezy bubbly water can make the difference between ho-hum hydration and resplendent refreshment. Packaged in a sleek 1-liter bottle, Trader Joe’s Lemon Sparkling Water is a fun and fizzy way to quench your thirst in all kinds of contexts, providing satisfyingly tart and citric sparkles with every single sip.   Whether you enjoy it chilled & straight out of the bottle, in glass over ice, or even used as a mixer with any one of our fine fruit juices and/or sassy spirits, our Lemon Sparkling Water is sure to make a splash. Enjoy a bottle at home, at a picnic or barbecue, or packed along with your lunch. Enjoy it anytime you need a burst of fruity effervescence, or even as the base of an old-fashioned ice cream soda! And, of course, be sure to enjoy its remarkable value, too: Trader Joe’s Lemon Sparkling Water offers a whole lot of bubbles for just about a buck. ","['Beverages', 'Water (Sparkling & Still)']",https://www.traderjoes.com/home/products/pdp/lemon-sparkling-water-094030,$0.99,33.8 Fl Oz,https://www.traderjoes.com/content/dam/trjo/products/m302/94030.png/jcr:content/renditions/cq5dam.web.1280.1280,Kosher,"['CARBONATED WATER (WATER, CARBON DIOXIDE)', 'NATURAL FLAVORS']",,"['Alfresco Dining', 'Glass Half Full', 'Picnic', 'Rain or Shine']","['12 fl oz(360mL)', '12 fl oz(360mL)']","['0 ', '0 ']"
grapefruit-sparkling-water-060321,Grapefruit Sparkling Water," We find that one of the quickest (and certainly one of the most cost effective) ways to add some sparkle to your life is to add some sparkle to your water. A bit of bright and breezy bubbly water can make the difference between ho-hum hydration and resplendent refreshment. Packaged in a sleek 1-liter bottle, Trader Joe’s Grapefruit Sparkling Water is a fun and fizzy way to quench your thirst in all kinds of contexts, providing satisfyingly tart and citric sparkles with every single sip.   Whether you enjoy it chilled & straight out of the bottle, in glass over ice, or even used as a mixer with any one of our fine fruit juices and/or sassy spirits, our Grapefruit Sparkling Water is sure to make a splash. Enjoy a bottle at home, on the go, at the gym, or packed along with your lunch. Enjoy it anytime you need a burst of fruity effervescence, or even as the base of an old-fashioned ice cream soda! And, of course, be sure to enjoy its remarkable value, too: Trader Joe’s Grapefruit Sparkling Water offers a whole lot of bubbles for just about a buck. ","['Beverages', 'Water (Sparkling & Still)']",https://www.traderjoes.com/home/products/pdp/grapefruit-sparkling-water-060321,$0.99,33.8 Fl Oz,https://www.traderjoes.com/content/dam/trjo/products/m302/60321.png/jcr:content/renditions/cq5dam.web.1280.1280,Kosher,"['CARBONATED WATER (WATER, CARBON DIOXIDE)', 'NATURAL FLAVORS']",,"['Alfresco Dining', 'Glass Half Full', 'Picnic', 'Rain or Shine']","['12 fl oz(360mL)', '12 fl oz(360mL)']","['0 ', '5 ']"
cranberry-clementine-sparkling-water-060320,Cranberry Clementine Sparkling Water," We find that one of the quickest (and certainly one of the most cost effective) ways to add some sparkle to your life is to add some sparkle to your water. A bit of bright and breezy bubbly water can make the difference between ho-hum hydration and resplendent refreshment. Packaged in a sleek 1-liter bottle, Trader Joe’s Cranberry Clementine Sparkling Water is a fun and fizzy way to quench your thirst in all kinds of contexts, providing satisfyingly tart and citric sparkles with every single sip.   Whether you enjoy it chilled & straight out of the bottle, in glass over ice, or even used as a mixer with any one of our fine fruit juices and/or sassy spirits, our Cranberry Clementine Sparkling Water is sure to make a splash. Enjoy a bottle at home, on your commute, during a hike, or packed along with your lunch. Enjoy it anytime you need a burst of fruity effervescence, or even as the base of an old-fashioned ice cream soda! And, of course, be sure to enjoy its remarkable value, too: Trader Joe’s Cranberry Clementine Sparkling Water offers a whole lot of bubbles for just about a buck. ","['Beverages', 'Water (Sparkling & Still)']",https://www.traderjoes.com/home/products/pdp/cranberry-clementine-sparkling-water-060320,$0.99,33.8 Fl Oz,https://www.traderjoes.com/content/dam/trjo/products/m302/60320.png/jcr:content/renditions/cq5dam.web.1280.1280,Kosher,"['CARBONATED WATER (WATER, CARBON DIOXIDE)', 'NATURAL FLAVORS']",,"['Alfresco Dining', 'Glass Half Full', 'Picnic', 'Rain or Shine']","['12 fl oz(360mL)', '12 fl oz(360mL)']","['0 ', '10 ']"
hydrolyzed-collagen-powder-074194,Hydrolyzed Collagen Powder," Collagen is a protein found naturally in our tendons, ligaments, muscles, and cartilage—in fact, it’s the most common protein found within the bodies of most mammals. Some say collagen is beneficial to our health, and even our appearance. The human body, however, produces less and less collagen for itself as we age, so some folks turn to dietary supplements to support their joint health, skin health, and hair health. Which is precisely why we carry Trader Joe’s Hydrolyzed Collagen Powder: made with pure, unflavored, powdered beef collagen, it’s a consummately convenient way to introduce more collagen into your diet.   Our supplier prepares each batch via a hydrolysis process that leaves the proteins so fine that they easily dissolve into all kinds of hot and cold drinks. Just add two scoops of Collagen Powder (using the scoop that’s provided in each pouch, naturally) to your morning cold brew, afternoon smoothie, or evening cup of tea, then mix, and enjoy. Each serving provides 12 grams of collagen to your daily regimen, and is virtually odorless and flavorless, making it a great option for simply mixing into a glass of water. However you enjoy it, you’re sure to enjoy our value: Trader Joe’s Hydrolyzed Collagen Powder is three dollars less than the brand we previously offered on our shelves—for the same amount of product! ","['Everything Else', 'Nutritional Supplements']",https://www.traderjoes.com/home/products/pdp/hydrolyzed-collagen-powder-074194,$7.99,7 Oz,https://www.traderjoes.com/content/dam/trjo/products/M504/74194.png/jcr:content/renditions/cq5dam.web.1280.1280,,"['COLLAGEN HYDROLYSATE.', '† Daily Value not established', ' ‡ Hydrolyzed Collagen does not meet with FDA’s regulation for a whole protein because the ingredient is missing the amino acid, tryptophan']",,"['The ""X"" Factor']",['2 scoops(12g)'],['45 ']
white-cheddar-popcorn-005985,White Cheddar Popcorn," Trader Joe’s White Cheddar Popcorn is a special variety grown for us on family farms in Nebraska. Each kernel is air popped at just the right temperature to ensure a fluffy, tender texture. Once popped, it’s flavored with a rich, creamy white Cheddar cheese blend. A satisfyingly savory snack in practically any situation, Trader Joe’s White Cheddar Popcorn is particularly suited for enjoying on movie nights, munching on long car rides, or incorporating into your own customized snack mixes. ","['Food', 'Snacks & Sweets', 'Chips, Crackers & Crunchy Bites']",https://www.traderjoes.com/home/products/pdp/white-cheddar-popcorn-005985,$2.49,5 Oz,https://www.traderjoes.com/content/dam/trjo/products/m21001/05985.png/jcr:content/renditions/cq5dam.web.1280.1280,Kosher,"['POPCORN', 'VEGETABLE OIL (SUNFLOWER AND/OR CANOLA OIL)', 'WHITE CHEDDAR SEASONING (WHEY POWDER, WHEY PROTEIN CONCENTRATE, BUTTERMILK POWDER, CHEDDAR CHEESE [PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES], CHEESE [PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES], SALT, SODIUM PHOSPHATE, CONTAINS 2% OR LESS OF CITRIC ACID [ACIDIFIER], LACTIC ACID).']",CONTAINS MILK.,"['Backpack Ready', 'Crack a Beer', 'Desk Drawer', 'Finger Food', 'Game Night', 'Midday Snacks', 'Picnic']",['2 cups(28g)'],['170']
honey-roasted-peanuts-050953,Honey Roasted Peanuts," A singing symphony of sweet and savory flavors full of nutty and floral tones, Trader Joe’s Honey Roasted Peanuts may just be the ultimate bar snack. Intoxicatingly crunchable and munchable with friends late into the night, you won’t remember how many handfuls, or how many beers, you’ve had once the bag is empty!   Trader Joe’s Honey Roasted Peanuts are the tastiest, most craveable snack you can keep around (or can’t because you eat them all in one go). The sweet and salty flavor combo satisfies a craving for both at once. ","['Food', 'Snacks & Sweets', 'Nuts, Dried Fruits, Seeds']",https://www.traderjoes.com/home/products/pdp/honey-roasted-peanuts-050953,$3.49,1 Lb,https://www.traderjoes.com/content/dam/trjo/products/m21003/50953.png/jcr:content/renditions/cq5dam.web.1280.1280,Kosher,"['PEANUTS', 'SUGAR', 'HONEY', 'VEGETABLE OIL (PEANUT OIL AND/OR  SUNFLOWER SEED OIL)', 'SEA SALT', 'POTATO STARCH', 'MALTODEXTRIN', 'XANTHAN GUM']",CONTAINS PEANUT.,"['Crack a Beer', 'Desk Drawer', 'Finger Food', 'Game Night', 'Midday Snacks']",['1/4 cup(30g)'],['190 ']
tangerine-probiotic-sparkling-beverage-074572,Tangerine Probiotic Sparkling Beverage," Fruity, fizzy, and filled with probiotics? What could be finer?! Very few things, we'd say. And lucky for you, if you're reading this, well, then you're about to experience it for yourself, first hand, with a Trader Joe's Tangerine Probiotic Sparkling Beverage.    Made with tangerine juice concentrate, apple juice concentrate, natural flavors, and plenty of bubbles, our Tangerine Probiotic Sparkling Beverage offers up light, refreshing, sweet-tart flavor-and plenty of bubbly refreshment. It tastes just like a no-sugar-added seltzer, but this no-sugar-added seltzer boasts a batch of  Bacillus coagulans-or probiotic cultures-which are added after the beverage is pasteurized.    What are you waiting for? Crack the can!  ","['Beverages', 'Sodas & Mixers']",https://www.traderjoes.com/home/products/pdp/tangerine-probiotic-sparkling-beverage-074572,$1.99,12 Fl Oz,https://www.traderjoes.com/content/dam/trjo/products/m305/74572.png/jcr:content/renditions/cq5dam.web.1280.1280,,"['CARBONATED WATER (WATER, CARBON DIOXIDE)', 'TANGERINE JUICE CONCENTRATE', 'APPLE JUICE CONCENTRATE', 'NATURAL FLAVOR', 'CITRIC ACID (ACIDULANT)', 'PROBIOTIC CULTURE (BACILLUS COAGULANS)']",,"['Alfresco Dining', 'Glass Half Full', 'Picnic', 'The ""X"" Factor']",['1 can(355 mL)'],['30 ']
