product_id,title,subtitle,description,category,url,price,weight,images,consume_advice,ingredients,nutritional values,allergens,vegan,price per kilo,product_availability,invalid_columns
peacock-dark-chocolate-box,PEACOCK CHOCOLATE BOX - 75% Dark Chocolate,24 Easter Treats & Praliné Pépites,"Featuring on one of our most splendid creations, the king of birds leads the way in our Easter Flight! This year, our Chocolate Box showcases a majestic peacock whose feather headdress shelters a real pralin  treasure. A playful & impressive creation: equipped with cotton gloves, it's up to you to put together the Signature Blend 75% dark chocolate base and lid, without forgetting to hide the coconut pralin  bells and hazelnut & caramel pralin  p pites inside! Open, take a bite, close, spread your wings and take another bite!",Easter chocolates,https://www.lechocolat-alainducasse.com/uk/peacock-dark-chocolate-box,£55.00,440g,"['https://www.lechocolat-alainducasse.com/uk/4079/peacock-dark-chocolate-box.jpg', 'https://www.lechocolat-alainducasse.com/uk/4080/peacock-dark-chocolate-box.jpg']",At its most delicious within 6 weeks of purchase,"Fèves de cacao (Equateur, Madagascar, Pérou, Sao Tomé), sucre de canne, NOISETTES (8%), beurre de cacao, AMANDES (4%), noix de coco râpée (3%), crème liquide (LAIT), eau, LAIT en poudre, sirop de glucose, fleur de sel, émulsifiant: lécithine de tournesol, gousses de vanille (Madagascar).","(pour 100g): Valeur énergétique: 2409kJ/581kcal; Matières grasses: 44g (dont acides gras saturés: 24g); Glucides: 33g (dont sucres: 26g); Protéines: 9,2g; Sel: 0,15g.","All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",,£125.00 / kg,Available in whole UK,['vegan']
hexa-dark-chocolate-woodpecker,HEXA-WOODPECKER - 75% Dark Chocolate,Seeds Praliné,"Welcome to the elegant woodpecker and its sweet beak instead of a sweet tooth! Coated in Signature Blend 75% dark chocolate, its singular pralin  is inspired by the seeds nibbled by our woodpecker friend. Sunflower seeds, pine nuts, raisins and pistachios offer a subtle blend of flavors for gourmets who never want to be bored.",Easter chocolates,https://www.lechocolat-alainducasse.com/uk/hexa-dark-chocolate-woodpecker,£14.17,65g,"['https://www.lechocolat-alainducasse.com/uk/4064/hexa-dark-chocolate-woodpecker.jpg', 'https://www.lechocolat-alainducasse.com/uk/4136/hexa-dark-chocolate-woodpecker.jpg']",At its most delicious within 6 weeks of purchase,"Beurre de cacao, fèves de cacao (Equateur, Madagascar, Pérou, Sao Tomé), NOISETTES (12%), PISTACHES (12%), raisins de corinthe (12%), sucre de canne, pignons de pin (9%), graines de tournesol (3%), AMANDES (1,6%), eau, émulsifiant : lécithine de tournesol, fleur de sel.","(pour 100g): Valeur énergétique: 2259kJ/618kcal; Matières grasses: 52g (dont acides gras saturés: 20g); Glucides: 24g (dont sucres: 20g); Protéines: 10g; Sel: 0,04g.","All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",,£217.95 / kg,Available in whole UK,['vegan']
77-size-150g,,,,,https://www.lechocolat-alainducasse.com/uk/easter-egg-dark-t1#/77-size-150g,,,[],,,,,,,Available in whole UK,"['title', 'description', 'price', 'weight', 'consume_advice', 'ingredients', 'nutritional values', 'vegan']"
easter-bunny-milk,Easter Bunny - 45% Milk Chocolate,9 Praliné Easter Treats,"With its refined lines, our Easter Bunny is a true chocolate jewel. And at its heart, to make you jump for joy, you will find some almond pralin  eggs and coconut pralin  bells! In milk chocolate, it s just waiting to be added to your gourmet selection!",Easter chocolates,https://www.lechocolat-alainducasse.com/uk/easter-bunny-milk,£30.00,250g,['https://www.lechocolat-alainducasse.com/uk/4143/easter-bunny-milk.jpg'],At its most delicious within 6 weeks of purchase,"Cocoa beans, sugar, cocoa butter, powdered milk, emulsifier: non-GMO sunflower lecithin, vanilla pods, sea salt, almonds, grated coconut. Cocoa : 45% minimum",,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£140.00 / Kg,City of London Area Only - This product is only available for courier delivery in London.,['nutritional values']
discovery-box-12-pieces,Discovery Box - 12 pieces - 12 pieces,Discovery Box,"The Discovery box contains a delicious assortment of La Manufacture s chocolates for those exploring the range for the first time, or for the amateur of variety. Single-Origin dark chocolate Ganaches, Pralin s ""  l'Ancienne"" and Flavored Ganaches... unique tastes and an array of textures that tempt the palate into answering the call of indulgence...",Boxes,https://www.lechocolat-alainducasse.com/uk/discovery-box-12-pieces,£17.50,100g,['https://www.lechocolat-alainducasse.com/uk/3345/discovery-box-12-pieces.jpg'],At its most delicious within 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",,£175.00 / Kg,Available in whole UK,"['ingredients', 'nutritional values', 'vegan']"
double-bites-box-4,Double-bites Box - 4 pieces - 4 pieces,Discovery Box,The Manufacture declines its delicious ganaches and its old-fashioned pralines in an even more delectable format. Double bites are now available in a small introductory box containing 4 bites/4 flavours.,Boxes,https://www.lechocolat-alainducasse.com/uk/double-bites-box-4,£12.50,85g,['https://www.lechocolat-alainducasse.com/uk/3344/double-bites-box-4.jpg'],At its most delicious within 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£147.06 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
box-essentials-small,Small Essentials Box,,"Our Soveria candied fruits, roc's, and drag es are gathered in one box! This box of Essentials contains milk chocolate roc's, Soveria Candied Oranges and milk chocolate hazelnut drag es.",Seasonal Creations,https://www.lechocolat-alainducasse.com/uk/box-essentials-small,£25.83,190g,['https://www.lechocolat-alainducasse.com/uk/3350/box-essentials-small.jpg'],At its most delicious within 4 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£135.96 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
box-essentials-large,Large Essentials Box,,"Our Soveria candied fruits, roc's, and drag es are gathered in one box! This box of Essentials contains milk & dark chocolate roc's, Soveria Candied Oranges, milk chocolate hazelnut drag es, dark chocolate almond drag es.",Mother's Day,https://www.lechocolat-alainducasse.com/uk/box-essentials-large,£46.67,365g,"['https://www.lechocolat-alainducasse.com/uk/3351/box-essentials-large.jpg', 'https://www.lechocolat-alainducasse.com/uk/3977/box-essentials-large.jpg']",At its most delicious within 4 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£127.85 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
praline-ancienne,Pralinés à l'Ancienne - 27 pieces - 27 pieces,Pralinés Box,"Our Pralin s ""  l'Ancienne"" are produced  old fashioned-style . These classics, with almonds and hazelnuts caramelised come in fondant and crunchy varieties. Recipes containing pistachios, peanuts or roasted coconut marry tradition and originality. This box of 27 pieces contains 9 flavours.",Mother's Day,https://www.lechocolat-alainducasse.com/uk/praline-ancienne,£33.33,240g,['https://www.lechocolat-alainducasse.com/uk/3340/praline-ancienne.jpg'],At its most delicious within 6 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£138.89 / Kg,Available in whole UK,"['title', 'ingredients', 'nutritional values']"
pepites-box-36-pieces,Pépites box - 36 pieces - 36 pieces,Pépites Box,"This box contains 36 P pites - small chocolate bites - exploring 6 flavors. In addition to the unmissable Caramel Hazelnut ones, the Manufacture offers you to discover new recipes.Try the chocolaty intensity of the Cocoa Nibs P pite, the character of the Kenyan coffee P pite, the roundness of the Walnut P pite or the crunchy Buckwheat P pite.",Valentine's Day,https://www.lechocolat-alainducasse.com/uk/pepites-box-36-pieces,£47.50,337g,"['https://www.lechocolat-alainducasse.com/uk/3329/pepites-box-36-pieces.jpg', 'https://www.lechocolat-alainducasse.com/uk/2059/pepites-box-36-pieces.jpg', 'https://www.lechocolat-alainducasse.com/uk/2540/pepites-box-36-pieces.jpg', 'https://www.lechocolat-alainducasse.com/uk/2382/pepites-box-36-pieces.jpg']",At its most delicious within 6 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£140.95 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
praline-ancienne-39-pieces,Pralinés à l'Ancienne - 39 pieces - 39 pieces,Pralinés Box,"Our Pralin s ""  l'Ancienne"" are produced  old fashioned-style . With 4 additional flavors, the box gets larger for pralin s lovers!To the classic recipes with almond, hazelnut, pistachio, peanut, coconut in dark or milk chocolate... are added sunflower, cocoa nibs, white & black sesame flavors. A combination of tradition & originality!",Mother's Day,https://www.lechocolat-alainducasse.com/uk/praline-ancienne-39-pieces,£45.00,345g,['https://www.lechocolat-alainducasse.com/uk/3352/praline-ancienne-39-pieces.jpg'],At its most delicious within 6 weeks of purchase,"Sugar, almonds, cocoa beans (Peru, Madagascar), Coating Cameroon, hazelnuts, cocoa butter, sunflower seeds, peanuts, crepe dentelle (wheat, sugar, milk, malt, salt), milk (France), sesame, coconut, pistachio, pistachio, flower of salt, emulsifier: sunflower lecithin, white chocolate, vanilla.",(per 100 g) Energy value: 2369kJ/570kcal ; Fat: 41g (of which saturated fatty acids: 13g); Carbohydrates: 35g (of which sugars: 28g); Protein: 12g; Salt: 0.34g.,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£130.43 / Kg,Available in whole UK,['title']
